Input_FID,FID_1,index,tile,confidence,diameter_k,res,lat,long,OBJECTID_2,OBJECTID,Shape_Leng,Unit,UnitDesc,SphArea_km,id,area,lat_1,Shape_Le_1,area_pol,Shape_Le_2,Shape_Area
"454","352102","6827",tile_2196_44_47,0.35598200000,0.08867000000,5m,0.51702487700,-176.25512410000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,19.67590000000,0.30813916121,0.00560009624
"449","352097","6822",tile_2193_44_44,0.87425500000,0.22237000000,5m,0.50403689800,-176.44214730000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,31.62140000000,0.38746746338,0.00900000684
"428","352075","6818",tile_2189_44_40,0.93562700000,0.12147000000,5m,0.47386392100,-176.83727950000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,204.85000000000,1.01952459871,0.05830377470
"437","352084","6815",tile_2186_44_37,0.72585200000,0.10698000000,5m,0.48527562000,-177.06668410000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,23.73980000000,0.35856347373,0.00675675620
"447","352095","6806",tile_2184_44_35,0.85994300000,0.13665000000,5m,0.50046752400,-177.21639650000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,3.23800000000,0.11981014244,0.00092159204
"448","352096","6786",tile_2180_44_31,0.97567600000,0.08701000000,5m,0.50138963200,-177.50501410000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,11.83060000000,0.23629895914,0.00336717948
"456","352104","6488",tile_2129_43_30,0.61013900000,0.18971000000,5m,0.51867961800,-177.59394460000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,5.48217000000,0.16136193303,0.00156031983
"527","352187","6018",tile_2028_41_29,0.99043000000,0.13542000000,5m,0.69181528600,-177.70700420000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,76.70400000000,0.78335152871,0.02183128808
"513","352172","6260",tile_2079_42_30,0.96678200000,0.07090000000,5m,0.66623161900,-177.61786610000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,2.11169000000,0.09984912560,0.00060102444
"520","352179","6271",tile_2081_42_32,0.29483900000,0.19362000000,5m,0.67928325000,-177.46142430000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,8.09980000000,0.19766947781,0.00230534246
